name@version.extension *,license *,copyrights *,end-of-support,dependencies,language,repository,email,URL
activation-1.0.2.jar,"""CDDL-1.0""",Copyright non presente,,,Java,,,
aopalliance-1.0.0.jar,"""Public Domain""",Copyright non presente,,,Java,,,
asm-3.3.1.jar,"""BSD-3-Clause""",Copyright non presente,,,Java,,,
aspectjrt-1.7.2.jar,"""EPL-1.0""",Copyright non presente,,,Java,,,
aspectjweaver-1.7.2.jar,"""EPL-1.0""",Copyright non presente,,,Java,,,
axis-jaxrpc-1.4.jar,"""Apache-2.0""",Copyright non presente,,,Java,,,
cglib-2.2.2.jar,"""Apache-2.0""",Copyright non presente,,,Java,,,
commons-beanutils-1.9.1.jar,"""Apache-2.0""",Copyright non presente,,,Java,,,
commons-collections4-4.1.jar,"""Apache-2.0""",Copyright non presente,,,Java,,,
commons-discovery-0.2.jar,"""Apache-1.1""","""This product includes software developed by the Apache Software Foundation (http://www.apache.org/).""",,,Java,,,
commons-io-2.2.jar,"""Apache-2.0""",Copyright non presente,,,Java,,,
commons-lang3-3.1.jar,"""Apache-2.0""",Copyright non presente,,,Java,,,
commons-logging-1.1.1.jar,"""Apache-2.0""",Copyright non presente,,,Java,,,
csi-apachesoap-1.2.2.jar,"""Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)""",CSI-Piemonte,,,Java,,,
csi-core-1.2.2.jar,"""Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)""",CSI-Piemonte,,,Java,,,
csi-ejb-1.2.2.jar,"""Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)""",CSI-Piemonte,,,Java,,,
csi-rmi-1.2.2.jar,"""Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)""",CSI-Piemonte,,,Java,,,
csi-stadapter-1.2.2.jar,"""Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)""",CSI-Piemonte,,,Java,,,
csi-tools-1.2.2.jar,"""Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)""",CSI-Piemonte,,,Java,,,
dozer-5.5.1.jar,"""Apache-2.0""",Copyright non presente,,,Java,,,
guava-18.0.jar,"""Apache-2.0""",Copyright non presente,,,Java,,,
iridev2-pep-intf-2.0.0.jar,"""Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)""",CSI-Piemonte,,,Java,,,
j2ee-1.3.jar,"""Libreria Java di Base""",Copyright non presente,,,Java,,,
jackson-core-asl-1.9.2-redhat-1.jar,"""Apache-2.0""",Redhat,,,Java,,,
jackson-mapper-asl-1.9.2-redhat-1.jar,"""Apache-2.0""",Redhat,,,Java,,,
javassist-3.17.1-GA.jar,"""MPL-1.1;LGPL-2.1;Apache-2.0"" ",Copyright non presente,,,Java,,,
javax.ws.rs-api-2.0.jar,"""CDDL-1.1;GPL-2.0 w/ CPE""",Copyright non presente,,,Java,,,
jaxp-1.1.jar,"""Libreria Java di Base""",Copyright non presente,,,Java,,,
jcert-1.0.3.jar,"""Libreria Java di Base""",Copyright non presente,,,Java,,,
jettison-1.3.1.jar,"""Apache-2.0""",Copyright non presente,,,Java,,,
jms-1.0.2b.jar,"""Libreria Java di Base""",Copyright non presente,,,Java,,,
jndi-1.2.1.jar,"""Libreria Java di Base""",Copyright non presente,,,Java,,,
jnet-1.0.3.jar,"""Libreria Java di Base""",Copyright non presente,,,Java,,,
jsr311-api-1.1.1.jar,"""CDDL-1.0""",Copyright non presente,,,Java,,,
jsse-1.0.3.jar,"""Libreria Java di Base""",Copyright non presente,,,Java,,,
jxl-2.6.8.jar,"""LGPL-3.0""",Copyright non presente,,,Java,,,
log4j-1.2.14.jar,"""Apache-2.0""",Copyright non presente,,,Java,,,
mail-1.2.jar,"""Libreria Java di Base""",Copyright non presente,,,Java,,,
mybatis-3.2.3.jar,"""Apache-2.0""",Copyright non presente,,,Java,,,
mybatis-generator-core-1.3.2.jar,"""Apache-2.0""",Copyright non presente,,,Java,,,
mybatis-spring-1.2.1.jar,"""Apache-2.0""",Copyright non presente,,,Java,,,
poi-3.17.jar,"""Apache-2.0""",Copyright non presente,,,Java,,,
postgresql-9.0-801.jdbc3.jar,"""BSD""",Copyright non presente,,,Java,,,
resolver-2.6.2.jar,"""Apache-2.0""",Apache Foundation,,,Java,,,
resteasy-jaxrs-2.3.10.Final-redhat-1.jar,"""Apache-2.0""",Redhat,,,Java,,,
resteasy-multipart-provider-2.3.7.Final.jar,"""Apache-2.0""",Copyright non presente,,,Java,,,
resteasy-spring-2.3.10.Final-redhat-1.jar,"""Apache-2.0""",Redhat,,,Java,,,
saaj-1.2.jar,"""CDDL-1.0""",Copyright non presente,,,Java,,,
servlet-api-2.5.jar,"""CDDL-1.0; GPL-2.0""",Copyright non presente,,,Java,,,
slf4j-api-1.6.4.jar,"""MIT""",Copyright non presente,,,Java,,,
soap-2.3.1.jar,"""Libreria Java di Base""",Copyright non presente,,,Java,,,
spring-core-3.1.1.RELEASE.jar,"""Apache-2.0""",Copyright non presente,,,Java,,,
spring-tx-3.1.1.RELEASE.jar,"""Apache-2.0""",Copyright non presente,,,Java,,,
util-perf-1.0.0.jar,"""Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)""",CSI-Piemonte,,,Java,,,
wsdl4j-1.5.1.jar,"""CPL-1.0""",Copyright non presente,,,Java,,,
xercesImpl-2.6.2.jar,"""Apache-2.0""",Copyright non presente,,,Java,,,
xml-apis-2.6.2.jar,"""Apache-2.0""",Copyright non presente,,,Java,,,
