module name,license,repository
@angular-devkit/architect@0.13.9,MIT,https://github.com/angular/angular-cli
@angular-devkit/build-angular@0.13.9,MIT,https://github.com/angular/angular-cli
@angular-devkit/build-optimizer@0.13.9,MIT,https://github.com/angular/angular-cli
@angular-devkit/build-webpack@0.13.9,MIT,https://github.com/angular/angular-cli
@angular-devkit/core@7.3.9,MIT,https://github.com/angular/angular-cli
@angular-devkit/schematics@7.3.9,MIT,https://github.com/angular/angular-cli
@angular/animations@7.2.15,MIT,https://github.com/angular/angular
@angular/cdk@7.3.7,MIT,https://github.com/angular/material2
@angular/cli@7.3.9,MIT,https://github.com/angular/angular-cli
@angular/common@7.2.15,MIT,https://github.com/angular/angular
@angular/compiler-cli@7.2.15,MIT,https://github.com/angular/angular
@angular/compiler@7.2.15,MIT,https://github.com/angular/angular
@angular/core@7.2.15,MIT,https://github.com/angular/angular
@angular/forms@7.2.15,MIT,https://github.com/angular/angular
@angular/language-service@7.2.15,MIT,https://github.com/angular/angular
@angular/material-moment-adapter@8.2.3,MIT,https://github.com/angular/components
@angular/material@7.3.7,MIT,https://github.com/angular/material2
@angular/platform-browser-dynamic@7.2.15,MIT,https://github.com/angular/angular
@angular/platform-browser@7.2.15,MIT,https://github.com/angular/angular
@angular/router@7.2.15,MIT,https://github.com/angular/angular
@babel/code-frame@7.5.5,MIT,https://github.com/babel/babel/tree/master/packages/babel-code-frame
@babel/generator@7.6.0,MIT,https://github.com/babel/babel/tree/master/packages/babel-generator
@babel/helper-function-name@7.1.0,MIT,https://github.com/babel/babel/tree/master/packages/babel-helper-function-name
@babel/helper-get-function-arity@7.0.0,MIT,https://github.com/babel/babel/tree/master/packages/babel-helper-get-function-arity
@babel/helper-split-export-declaration@7.4.4,MIT,https://github.com/babel/babel/tree/master/packages/babel-helper-split-export-declaration
@babel/highlight@7.5.0,MIT,https://github.com/babel/babel/tree/master/packages/babel-highlight
@babel/parser@7.5.5,MIT,https://github.com/babel/babel/tree/master/packages/babel-parser
@babel/parser@7.6.0,MIT,https://github.com/babel/babel/tree/master/packages/babel-parser
@babel/template@7.6.0,MIT,https://github.com/babel/babel/tree/master/packages/babel-template
@babel/traverse@7.6.0,MIT,https://github.com/babel/babel/tree/master/packages/babel-traverse
@babel/types@7.6.1,MIT,https://github.com/babel/babel/tree/master/packages/babel-types
@material/base@4.0.0,MIT,https://github.com/material-components/material-components-web
@material/feature-targeting@4.0.0,MIT,https://github.com/material-components/material-components-web
@material/grid-list@4.0.0,MIT,https://github.com/material-components/material-components-web
@material/rtl@4.0.0,MIT,https://github.com/material-components/material-components-web
@material/theme@4.0.0,MIT,https://github.com/material-components/material-components-web
@material/typography@4.0.0,MIT,https://github.com/material-components/material-components-web
@ngtools/webpack@7.3.9,MIT,https://github.com/angular/angular-cli
@schematics/angular@7.3.9,MIT,https://github.com/angular/angular-cli
@schematics/update@0.13.9,MIT,https://github.com/angular/angular-cli
@types/events@3.0.0,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/file-saver@2.0.1,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/glob@7.1.1,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/jasmine@2.8.16,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/jasminewd2@2.0.8,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/minimatch@3.0.3,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/node@8.10.56,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/q@0.0.32,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/q@1.5.2,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/selenium-webdriver@3.0.16,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/source-list-map@0.1.2,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/webpack-sources@0.1.5,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@webassemblyjs/ast@1.7.11,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/ast@1.8.5,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/floating-point-hex-parser@1.7.11,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/floating-point-hex-parser@1.8.5,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/helper-api-error@1.7.11,MIT,
@webassemblyjs/helper-api-error@1.8.5,MIT,
@webassemblyjs/helper-buffer@1.7.11,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/helper-buffer@1.8.5,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/helper-code-frame@1.7.11,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/helper-code-frame@1.8.5,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/helper-fsm@1.7.11,ISC,
@webassemblyjs/helper-fsm@1.8.5,ISC,
@webassemblyjs/helper-module-context@1.7.11,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/helper-module-context@1.8.5,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/helper-wasm-bytecode@1.7.11,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/helper-wasm-bytecode@1.8.5,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/helper-wasm-section@1.7.11,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/helper-wasm-section@1.8.5,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/ieee754@1.7.11,MIT,
@webassemblyjs/ieee754@1.8.5,MIT,
@webassemblyjs/leb128@1.7.11,MIT,
@webassemblyjs/leb128@1.8.5,MIT,
@webassemblyjs/utf8@1.7.11,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/utf8@1.8.5,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/wasm-edit@1.7.11,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/wasm-edit@1.8.5,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/wasm-gen@1.7.11,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/wasm-gen@1.8.5,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/wasm-opt@1.7.11,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/wasm-opt@1.8.5,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/wasm-parser@1.7.11,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/wasm-parser@1.8.5,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/wast-parser@1.7.11,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/wast-parser@1.8.5,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/wast-printer@1.7.11,MIT,https://github.com/xtuc/webassemblyjs
@webassemblyjs/wast-printer@1.8.5,MIT,https://github.com/xtuc/webassemblyjs
@xtuc/ieee754@1.2.0,BSD-3-Clause,https://github.com/feross/ieee754
@xtuc/long@4.2.1,Apache-2.0,https://github.com/dcodeIO/long.js
@xtuc/long@4.2.2,Apache-2.0,https://github.com/dcodeIO/long.js
@yarnpkg/lockfile@1.1.0,BSD-2-Clause,https://github.com/yarnpkg/yarn/blob/master/packages/lockfile
JSONStream@1.3.5,(MIT OR Apache-2.0),https://github.com/dominictarr/JSONStream
abbrev@1.1.1,ISC,https://github.com/isaacs/abbrev-js
accepts@1.3.7,MIT,https://github.com/jshttp/accepts
acorn-dynamic-import@4.0.0,MIT,https://github.com/kesne/acorn-dynamic-import
acorn@6.3.0,MIT,https://github.com/acornjs/acorn
adm-zip@0.4.13,MIT,https://github.com/cthackers/adm-zip
after@0.8.2,MIT,https://github.com/Raynos/after
agent-base@4.2.1,MIT,https://github.com/TooTallNate/node-agent-base
agent-base@4.3.0,MIT,https://github.com/TooTallNate/node-agent-base
agentkeepalive@3.5.2,MIT,https://github.com/node-modules/agentkeepalive
ajv-errors@1.0.1,MIT,https://github.com/epoberezkin/ajv-errors
ajv-keywords@3.4.1,MIT,https://github.com/epoberezkin/ajv-keywords
ajv@5.5.2,MIT,https://github.com/epoberezkin/ajv
ajv@6.10.2,MIT,https://github.com/epoberezkin/ajv
ajv@6.9.1,MIT,https://github.com/epoberezkin/ajv
alphanum-sort@1.0.2,MIT,https://github.com/TrySound/alphanum-sort
amdefine@1.0.1,BSD-3-Clause OR MIT,https://github.com/jrburke/amdefine
anagrafica-contatti@0.0.0,UNLICENSED,
ansi-colors@3.2.4,MIT,https://github.com/doowb/ansi-colors
ansi-escapes@3.2.0,MIT,https://github.com/sindresorhus/ansi-escapes
ansi-html@0.0.7,Apache-2.0,https://github.com/Tjatse/ansi-html
ansi-regex@2.1.1,MIT,https://github.com/chalk/ansi-regex
ansi-regex@3.0.0,MIT,https://github.com/chalk/ansi-regex
ansi-regex@4.1.0,MIT,https://github.com/chalk/ansi-regex
ansi-styles@2.2.1,MIT,https://github.com/chalk/ansi-styles
ansi-styles@3.2.1,MIT,https://github.com/chalk/ansi-styles
anymatch@2.0.0,ISC,https://github.com/micromatch/anymatch
app-root-path@2.2.1,MIT,https://github.com/inxilpro/node-app-root-path
append-transform@1.0.0,MIT,https://github.com/istanbuljs/append-transform
aproba@1.2.0,ISC,https://github.com/iarna/aproba
are-we-there-yet@1.1.5,ISC,https://github.com/iarna/are-we-there-yet
argparse@1.0.10,MIT,https://github.com/nodeca/argparse
arr-diff@4.0.0,MIT,https://github.com/jonschlinkert/arr-diff
arr-flatten@1.1.0,MIT,https://github.com/jonschlinkert/arr-flatten
arr-union@3.1.0,MIT,https://github.com/jonschlinkert/arr-union
array-find-index@1.0.2,MIT,https://github.com/sindresorhus/array-find-index
array-flatten@1.1.1,MIT,https://github.com/blakeembrey/array-flatten
