module name,license,repository
@angular/animations@5.2.11,MIT,https://github.com/angular/angular
@angular/cdk@5.2.5,MIT,https://github.com/angular/material2
@angular/cli@1.5.0,MIT,https://github.com/angular/angular-cli
@angular/common@5.2.11,MIT,https://github.com/angular/angular
@angular/compiler@2.4.10,MIT,https://github.com/angular/angular
@angular/compiler@5.2.11,MIT,https://github.com/angular/angular
@angular/compiler-cli@2.4.10,MIT,https://github.com/angular/angular
@angular/compiler-cli@5.2.11,MIT,https://github.com/angular/angular
@angular/core@2.4.10,MIT,https://github.com/angular/angular
@angular/core@5.2.11,MIT,https://github.com/angular/angular
@angular/forms@5.2.11,MIT,https://github.com/angular/angular
@angular/http@5.2.11,MIT,https://github.com/angular/angular
@angular/language-service@5.2.11,MIT,https://github.com/angular/angular
@angular/material@5.2.5,MIT,https://github.com/angular/material2
@angular/platform-browser@5.2.11,MIT,https://github.com/angular/angular
@angular/platform-browser-dynamic@5.2.11,MIT,https://github.com/angular/angular
@angular/router@5.2.11,MIT,https://github.com/angular/angular
@angular/tsc-wrapped@0.5.2,MIT,https://github.com/angular/angular
@angular-cli/ast-tools@1.0.16,MIT,https://github.com/angular/angular-cli
@angular-cli/base-href-webpack@1.0.16,MIT,https://github.com/angular/angular-cli
@angular-devkit/build-optimizer@0.0.42,MIT,https://github.com/angular/devkit
@angular-devkit/schematics@0.0.52,MIT,https://github.com/angular/devkit
@babel/code-frame@7.16.0,MIT,https://github.com/babel/babel
@babel/helper-validator-identifier@7.15.7,MIT,https://github.com/babel/babel
@babel/highlight@7.16.0,MIT,https://github.com/babel/babel
@ngtools/json-schema@1.1.0,MIT,https://github.com/angular/angular-cli
@ngtools/webpack@1.8.0,MIT,https://github.com/angular/angular-cli
@schematics/angular@0.1.17,MIT,https://github.com/angular/devkit
@types/jasmine@2.5.54,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/jasminewd2@2.0.8,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/minimist@1.2.2,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/node@6.0.118,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/normalize-package-data@2.4.1,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/q@0.0.32,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
@types/selenium-webdriver@2.53.43,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
